question_id;question;anchor_passage;anchor_passage_id;anchor_answer;comparison_passage;comparison_passage_id;comparison_answer;label;final_label;reason;Notes;secondary_label
TPC_15_470;Is it safe for a breastfeeding mother to consume alcohol every day?;È sicuro per le madri allattare al seno i propri bambini se hanno consumato alcolici? Non bere alcolici è l'opzione più sicura per le madri che allattano. In generale, un consumo moderato di alcol da parte di una madre che allatta (fino a 1 bevanda standard al giorno) non è noto essere dannoso per il bambino, soprattutto se la madre aspetta almeno 2 ore dopo aver bevuto prima di allattare. Tuttavia, l'esposizione a livelli di alcol superiori a quelli moderati attraverso il latte materno potrebbe essere dannosa per lo sviluppo, la crescita e i ritmi del sonno del bambino. Il consumo di alcol superiore a livelli moderati può anche compromettere il giudizio e la capacità della madre di prendersi cura del proprio bambino in modo sicuro.;EN_30589_26801-3;YES, moderate alcohol consumption by a breastfeeding mother (up to 1 standard drink per day) is generally not harmful to the infant, as long as she waits at least 2 hours after a single drink before nursing.;Estoy amamantando. ¿Puedo consumir bebidas alcohólicas: La lactancia y las bebidas alcohólicas no son una buena combinación. No hay ningún nivel de alcohol en la leche materna que se considere seguro para un bebé.;ES_382253_46550-0;NO, there is no level of alcohol in breast milk that is considered safe for a baby.;CONTRADICTION;CONTRADICTION;The answers present conflicting information about the safety of daily alcohol consumption for breastfeeding mothers.;;
TPC_15_829;"Does the ""Period of PURPLE Crying"" usually start around one month old?";Come faccio a impedire al mio bambino di piangere continuamente: tutti i bambini piangono. I bambini piangono di più tra il primo e il secondo mese di vita. Alcuni esperti chiamano questo periodo “Periodo del pianto PURPLE”, in cui gli attacchi di pianto diventano più lunghi e frequenti, sembrano inspiegabili e nulla sembra alleviarli. I bambini possono sembrare soffrire per lunghi periodi di tempo, specialmente la sera. Alcune persone lo chiamano anche colica.;EN_920872_152872-4;"Yes, babies cry the most between one and two months old. Some experts call this the ""Period of PURPLE Crying,"" where crying jags become longer and more frequent";Similitudes y diferencias entre el llanto normal y el llanto por cólicos: Dado que los bebés lloran más en sus primeros 3 meses de edad que en cualquier otro momento de sus vidas, a menudo, resulta difícil diferenciar entre la conducta de llanto por cólicos y la conducta de llanto prevista. Ambos tipos de llanto aumentan gradualmente y alcanzan su pico entre, aproximadamente, las 6 y las 8 semanas de edad. La mayoría de los episodios de llanto ocurren en las últimas horas de la tarde y por la noche, aunque la hora puede variar. La duración y la intensidad de los episodios de llanto también pueden cambiar de un día para el otro.;ES_186694_37876-14;Yes, crying increases gradually and reaches its peak between 6 and 8 weeks of age.;CONTRADICTION;NO_DISCREPANCY;"comparison_passage emphasizes the peak of crying (6-8 weeks), but does not deny that the ""Period of PURPLE Crying"" can begin around the first month, as anchor_passage mentions.";;
TPC_15_21957;Should you seek help if you are worried about your breastmilk supply?;Se sei preoccupata per la tua produzione di latte, chiedi aiuto chiamando il tuo ginecologo, il pediatra del tuo bambino o una consulente per l'allattamento.;EN_1418721_306116-41;YES, if you are worried about your breastmilk supply, it is recommended to seek help from your OB, your baby's pediatrician, or a lactation consultant.;Mito: no podrás producir suficiente leche: Las madres casi siempre producen leche suficiente para alimentar a sus bebés. Es probable que tu bebé esté recibiendo más de lo que piensas en cada alimentación. El estómago de un recién nacido tiene apenas el tamaño de una almendra. Si te alimentas de manera saludable, bebes agua y amamantas con frecuencia, tu suministro de leche debería ser abundante. Si tienes inquietudes sobre tu suministro de leche o sobre el peso de tu hijo, consulta a su médico o enfermera.;ES_617250_86773-12;YES, if you have concerns about your breastmilk supply or your baby's weight, you should consult your doctor or nurse. They can help address any issues and ensure both you and your baby are healthy.;CULTURAL_DISCREPANCY;CULTURAL_DISCREPANCY;Both answers recommend seeking professional help for concerns about breastmilk supply, but they differ slightly in who to consult (OB vs. pediatrician or lactation consultant vs. doctor or nurse). These differences do not represent fundamental contradictions since all the suggested professionals are healthcare providers who could offer guidance on this issue. The advice is consistent across cultures, as these professionals are generally available and recognized for their expertise in breastfeeding support.;;
TPC_15_1046;Will your child be transferred to a different area of the hospital if they need further treatment after being admitted to the ED?;Se vostro figlio viene ricoverato: se vostro figlio necessita di ulteriori cure, potrebbe essere ricoverato in ospedale. In tal caso, vostro figlio verrà trasferito in una stanza in un'altra area dell'ospedale. L'assistenza a vostro figlio passerà quindi dai medici e dagli infermieri del pronto soccorso a un team medico o chirurgico. Nei periodi di maggiore affluenza, potrebbe essere necessario condividere la stanza in modo da poter assistere tutti i nostri pazienti.;EN_526814_87203-24;YES, if your child needs further treatment after being admitted to the ED, they will be transferred to a different area of the hospital, and their care will transfer from the ED doctors and nurses to a medical or surgical team. During busy times, sharing a room may be necessary to accommodate all patients.;Unidades de cuidados intensivos (ICU o PICU): Si la afección médica de su hijo requiere un control adicional del personal del hospital, se atenderá a su hijo en una unidad de cuidados intensivos (ICU o PICU, por sus siglas en inglés). Las rutinas y las reglas de las unidades de cuidados intensivos son diferentes de las de las unidades comunes de pacientes hospitalizados, y se implementan para garantizar que su hijo reciba el nivel de atención que necesita.;ES_333909_2835-7;YES, if your child's medical condition requires additional hospital staff monitoring, they will be transferred to an ICU (Intensive Care Unit) or PICU (Pediatric Intensive Care Unit). The routines and rules in these units differ from regular patient care areas to ensure your child receives the necessary level of attention.;CULTURAL_DISCREPANCY;NO_DISCREPANCY;Both answers describe a transfer of care for children needing further treatment after being admitted to the ED.;;
TPC_15_1636;Do most children continue taking an afternoon nap until about age 3?;Man mano che i bambini crescono, gli orari dei pisolini diventano in genere più prevedibili. Ad esempio:\n- Dai 4 mesi al 1° anno di età. Dopo il periodo neonatale, il bambino farà probabilmente almeno due pisolini al giorno: uno al mattino e uno nel primo pomeriggio. Alcuni bambini hanno bisogno anche di un pisolino nel tardo pomeriggio. Potresti cercare di far dormire il tuo bambino alle 9:00 e alle 13:00. Lascia che il tuo bambino dorma per tutto il tempo che desidera, a meno che non abbia difficoltà ad addormentarsi la notte. Se il tuo bambino fa un terzo pisolino nel tardo pomeriggio, cerca di eliminarlo intorno ai 9 mesi. Questo aiuterà il tuo bambino ad essere pronto per andare a letto prima. - Dai 12 mesi in su. Quando il bambino ha circa 10 mesi o 1 anno, probabilmente smetterà di fare il pisolino mattutino. Durante questa transizione, considera di anticipare di mezz'ora l'ora del pisolino e quella di andare a letto per aiutarlo ad adattarsi. La maggior parte dei bambini continua a fare un pisolino pomeridiano di una o due ore fino all'età di circa 3 anni. Dopo questa età, la durata del pisolino tende ad accorciarsi.;EN_1195013_259366-2;Yes, most children continue taking an afternoon nap until about age 3.;Sueño. Los niños de la etapa preescolar duermen unas 10-13 horas por la noche. Muchos niños de 4 años dejan de hacer la siesta por la tarde, pero asegúrese de que su hijo dispone de un tiempo de descanso para relajarse y estar tranquilo durante el día.;ES_348760_42818-5;YES, most children stop taking an afternoon nap around the age of 4.;CULTURAL_DISCREPANCY;NO_DISCREPANCY;The first state the children nap until age 3, while the seconds says that by 4 they have stop;;
TPC_15_14251;Is it recommended for most infants and children to undergo routine hearing tests?;Perché mio figlio ha bisogno di un test dell'udito: i test dell'udito di routine sono raccomandati per la maggior parte dei neonati e dei bambini. Ai neonati viene solitamente sottoposto un test dell'udito prima che lascino l'ospedale. Se il vostro bambino non supera questo test dell'udito, ciò non significa necessariamente che soffra di una grave perdita uditiva. Tuttavia, il vostro bambino dovrebbe essere sottoposto a un nuovo test entro tre mesi.;EN_1265590_282403-6;YES, routine hearing tests are recommended for most babies and children. Newborns typically receive a hearing test before leaving the hospital, and if they don't pass, they should be retested within three months. This is important because normal hearing is crucial for language development in early childhood.;Los niños con una audición normal, deben seguir siendo sometidos a pruebas auditivas en sus revisiones regulares. Se suelen volver a hacer pruebas de cribado auditivo cuando los niños tienen 4, 5, 6, 8 y 10 años de edad, y luego en la preadolescencia y la adolescencia. El médico de su hijo le evaluará la audición en cualquier otro momento en que le preocupe.;ES_323331_41946-8;YES, it is recommended for most infants and children to undergo routine hearing tests during their regular check-ups. These tests are usually repeated at ages 4, 5, 6, 8, 10, and during adolescence. A doctor may also evaluate a child's hearing if there are any concerns.;CULTURAL_DISCREPANCY;CULTURAL_DISCREPANCY;Both answers recommend routine hearing tests for infants and children, with slight variations in when these tests should occur. The differences described (e.g., specific ages for repeat testing) do not fundamentally conflict but rather provide additional details on established recommendations. These variations could be due to different healthcare systems or guidelines without contradicting each other.;;
TPC_15_9281;How many new cases of bronchopulmonary dysplasia (BPD) are estimated to occur per year in the United States?;Che cos'è la displasia broncopolmonare grave: la displasia broncopolmonare (BPD) è una malattia polmonare cronica che insorge dopo la terapia intensiva neonatale nei bambini nati prematuri. Il miglioramento delle cure ostetriche e neonatali nel corso del tempo ha aumentato la sopravvivenza anche dei neonati prematuri più piccoli, ma la BPD continua a essere un problema importante, con una stima di 10.000-15.000 nuovi casi all'anno negli Stati Uniti.;EN_1392587_301506-9;YES, approximately 10,000 to 15,000 new cases of bronchopulmonary dysplasia (BPD) are estimated to occur per year in the United States. This information is mentioned in the passage as an estimate related to the prevalence of this condition among preterm babies.;Junto con el asma y la fibrosis quística, la displasia broncopulmonar es una de las enfermedades pulmonares crónicas más frecuentes en la población infantil. Según el National Heart, Lung, and Blood Institute (NHLBI) -Instituto nacional del corazón, los pulmones y la sangre- de los National Institutes of Health (NIH) -Institutos nacionales de la Salud-, en EE.UU. se dan entre 5.000 y 10.000 casos de displasia broncopulmonar cada año. Los niños con un peso natal extremadamente bajo (menos de 1.000 gramos o de 2,2 libras) tienen un riesgo más elevado de desarrollar esta enfermedad. Aunque la mayoría de estos bebés acaban superando los síntomas conforme van madurando, en contadas ocasiones la displasia broncopulmonar —en combinación con otras complicaciones de la prematuridad— puede ser mortal.;ES_355384_43353-4;YES, according to the National Heart, Lung, and Blood Institute (NHLBI), an estimated 5,000 to 10,000 cases of bronchopulmonary dysplasia occur each year in the United States.;CONTRADICTION;CONTRADICTION;"The two answers provide slightly differing estimates of the number of new BPD cases per year in the United States, but both are within the same general range (5,000 to 15,000). There is no cultural context that would make one estimate true and the other false; they likely represent variations in data sources or estimation methods rather than differences based on culture.";;
TPC_15_19539;Should you breastfeed your baby if you have HIV?;Poiché l'HIV può essere trasmesso attraverso il latte materno, non dovresti allattare al seno il tuo bambino. Parla con il tuo medico curante riguardo all'alimentazione artificiale.;EN_1392928_301559-10;YES, if you have HIV, it is recommended not to breastfeed your baby as HIV can be transmitted through human milk.;Las recomendaciones se han revisado para tener en cuenta también las necesidades de los lactantes cuyas madres están infectadas por el VIH. Los tratamientos antiretrovíricos actuales permiten que estos niños tengan una lactancia exclusivamente materna hasta los 6 meses y sigan recibiendo lactancia materna al menos hasta los 12 meses con un riesgo significativamente menor de transmisión del VIH.;ES_855879_115821-4;YES, but with precautions to reduce the risk of transmission, such as using antiretroviral therapy for the mother and infant, and ensuring the baby receives appropriate medical care;CULTURAL_DISCREPANCY;NO_DISCREPANCY;The two answers present a nuanced view on breastfeeding for HIV-positive mothers, with one emphasizing the general recommendation against it due to transmission risks and the other acknowledging the benefits under specific precautions. They do not directly contradict each other but provide different perspectives on the same issue.;;
TPC_15_19048;Do infants with galactosemia need to be fed a special formula instead of milk-based baby formulas?;C'è qualcos'altro che devo sapere sul test per la galattosemia? Non esiste una cura per la galattosemia. Ai neonati con diagnosi di questa malattia possono essere somministrati latte artificiale a base di soia o altri tipi di latte artificiale senza lattosio. I bambini affetti da galattosemia classica (GALT) devono seguire una dieta speciale che esclude il latte e tutti i prodotti che lo contengono. I bambini con deficit di GALK e GALE possono includere nella loro dieta una quantità limitata di latticini.;EN_1203635_277216-12;YES, infants with galactosemia need to be fed a special formula instead of milk-based baby formulas. The disorder prevents their body from breaking down galactose found in milk and dairy products, so they require soy formula or lactose-free alternatives.;Si un bebé con una deficiencia de GALT, GALK o GALE come alimentos con galactosa, se acumulan niveles altos de azúcar en la sangre. Esto puede causar problemas de salud graves, como enfermedad hepática, insuficiencia renal, daño cerebral e incluso la muerte. Pero con un diagnóstico y un tratamiento tempranos, los niños con galactosemia pueden llevar una vida sana.;ES_907078_120269-2;YES, infants with galactosemia need to be fed a special formula instead of milk-based baby formulas because their bodies cannot properly process galactose found in these products. Early diagnosis and treatment, including a specialized diet, can help ensure a healthy life for children with galactosemia.;NO_DISCREPANCY;NO_DISCREPANCY;Both answers provide consistent information about infants with galactosemia needing special formulas instead of milk-based ones due to their inability to process galactose. They also emphasize the importance of early diagnosis and treatment. There is no cultural context that would change this medical advice.;;
TPC_15_13471;Should infants sleep in the same room as their parents? If so, for how long?;Il fumo di qualsiasi tipo aumenta il rischio di morte del bambino durante il sonno, specialmente se malato. Non condividere il letto con il bambino. Questo è particolarmente importante se il bambino è molto piccolo o nato prematuro. È particolarmente importante anche se hai bevuto alcolici, assunto marijuana o assunto farmaci o droghe illegali. Non mettere il bambino a dormire in un letto con altri bambini o adulti. Potete portare il vostro bambino nel vostro letto per allattarlo e confortarlo. Ma rimettetelo nella culla o nella carrozzina per dormire. Non addormentatevi con il vostro bambino. La condivisione del letto è sconsigliata anche per i gemelli o altri bambini multipli. Condividete la vostra camera con il vostro bambino, invece del vostro letto. L'AAP raccomanda che i neonati dormano nella stessa stanza dei genitori, vicino al loro letto. Tuttavia, i bambini devono dormire in un letto separato o in una culla adatta ai neonati. Questa sistemazione è consigliata almeno per i primi 6 mesi. Utilizzate biancheria da letto adeguata. Il bambino deve dormire su un materasso rigido e piatto o su una superficie rigida senza inclinazioni. Il materasso deve essere ben aderente e progettato appositamente per la culla. Coprite il materasso con un lenzuolo con angoli. Non utilizzare coperte o piumoni soffici. Non lasciare che il bambino dorma su un letto per adulti, un letto ad acqua, un materasso gonfiabile, un divano, una pelle di pecora, un cuscino o altro materiale morbido. Non mettere giocattoli morbidi, cuscini o paracolpi nella culla. Non utilizzare coperte pesanti, tutine, fasce o altri oggetti pesanti.;EN_1393569_301605-28;YES, the AAP recommends sharing the room with your baby for at least the first 6 months to reduce the risk of SIDS. It is important to keep the baby in a separate bed or crib and avoid bed sharing due to the risks associated with it.;¿Dónde debería dormir mi hijo: Es una buena idea que haga que su bebé duerma en la misma habitación que usted sin que comparta su cama. Esto se debe a que dormir en la misma cama que un bebé expone a este último al riesgo de ahogo, estrangulamiento y síndrome de muerte súbita del lactante (SMSL).;ES_345533_42588-1;YES, infants should sleep in the same room as their parents for at least the first six months, and ideally for up to one year, to reduce the risk of sudden infant death syndrome (SIDS). It is important that they do not share the same bed to avoid the risk of suffocation, strangulation, or SIDS.;NO_DISCREPANCY;NO_DISCREPANCY;Both answers recommend sharing the room with the baby for at least six months and up to one year to reduce the risk of SIDS. They also caution against bed sharing due to safety concerns. The information provided is consistent, with no contradictions or differences that stem from cultural norms.;;
